name,website,phone,address,price_range,rating,review_count,category,description,price_range,days,hours,menu,facebook,youtube,twitter,instagram,status,directions
Veli Usta Pastanesi,http://veliusta.com.tr/,(0232) 279 31 31,"Teleferik, Sakarya Cd. No:1/A, 35330 Balçova/İzmir",,"4,0",13 Google yorumu,Pastane,,,,07:00–00:00 07:00–00:00 07:00–00:00Saatler değişebilir 07:00–00:00 07:00–00:00 07:00–00:00 07:00–00:00 ,,,,,,Açık,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbdc385866789b:0xf74cab9d0c04c9a4?sa=X
Wavy Ice Cream & Coffee Shop,,"Alsancak, Cumhuriyet Blv 296 I, 35220 Konak/İzmir",,,"3,0",2 Google yorumu,Dondurma dükkanı,,,,11:30–23:45 11:30–23:45 11:30–23:45Saatler değişebilir 11:30–23:45 11:30–23:45 11:30–23:45 11:30–23:45 ,,,,,,Kapalı,
Birlikoğlu Gıda,,0545 633 11 11,"Osmangazi, 605. Sk. No: 29/A, 35535 Bayraklı/İzmir",,"4,3",3 Google yorumu,Gıda Ürünleri Tedarikçisi,,,,08:30–20:00 08:30–20:00 08:30–20:00Saatler değişebilir 08:30–20:00 08:30–20:00 08:30–20:00 08:30–20:00 ,,,,,,Açık,
Mado,,"Mansuroğlu, Lider Centrio, 1593/1. Sk. No: 4/C D:B Blok, 35535 Bayraklı/İzmir",,₺₺₺,"3,9",90 Google yorumu,Pastane,,₺₺₺,,08:00–22:00 08:00–22:00 08:00–22:00Saatler değişebilir 08:00–22:00 08:00–22:00 08:00–22:00 08:00–22:00 ,,,,,,Açık,
46 Edem Waffle,,(0232) 362 40 28,"Bostanlı, Cemal Gürsel Cd. No:482 D:A, 35590 Karşıyaka/İzmir",,"4,3",155 Google yorumu,Tatlıcı,,,,12:00–02:00 12:00–02:00 12:00–02:00Saatler değişebilir 12:00–02:00 12:00–02:00 12:00–02:00 12:00–02:00 ,,,,,,Kapalı,
AySa Dondurma,,0505 858 85 23,"Bayraklı, 1610. Sk., 35540 Bayraklı/İzmir",,"5,0",2 Google yorumu,Dondurma dükkanı,,,,09:00–00:00 09:00–00:00 09:00–00:00Saatler değişebilir 09:00–00:00 09:00–00:00 09:00–00:00 09:00–00:00 ,,,,,,Açık,
ARTDO Dondurma & Baklava,http://www.artdoshop.com/,0507 070 01 74,"Dedebaşı, Ordu Blv. 121/B, 35560 Karşıyaka/İzmir",,"4,9",7 Google yorumu,Tatlı Dükkanı,,,,10:00–23:45 10:00–23:45 10:00–23:45Saatler değişebilir 10:00–23:45 10:00–23:45 10:00–23:45 10:00–23:45 ,,,,,,Açılmak üzere,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbd94ed486c3b5:0xd6e726a76ebd95a8?sa=X
Mado,https://mado.com.tr/,"Optimum AVM Beyaz evler Mahallesi Akçay Caddesi 101/B1K-071-b, 35410 Gaziemir",,₺₺₺,"3,7",167 Google yorumu,Kafe,,₺₺₺,,,,,,,,,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbdfb6cd5904ab:0x8d2d2a2bf447ef5b?sa=X
Waffle'cı Akın,http://www.waffleciakin.com/,(0232) 251 51 80,"Atıfbey, Gazi Atatürk Blv. 17/B, 35410 Gaziemir/İzmir",₺₺,"3,9",99 Google yorumu,Dondurma dükkanı,,₺₺,,10:00–00:30 10:00–00:30 10:00–00:30Saatler değişebilir 10:00–00:30 10:00–00:30 10:00–00:30 10:00–00:30 ,,,,,,Açılmak üzere,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbdfd7a55c2f51:0x5a99bc816e75b90?sa=X
Elit Pastanesi,,(0232) 373 03 56,"Ergene, Mustafa Kemal Cd. No:6, 35040 Bornova/İzmir",₺₺,"4,4",253 Google yorumu,Pastane,,₺₺,,07:00–00:00 07:00–00:00 07:00–00:00Saatler değişebilir 07:00–00:00 07:00–00:00 07:00–00:00 07:00–00:00 ,,,,,,Açık,
